model,experiment,accuracy,clickbait_f1,clickbait_precision,non_clickbait_f1,non_clickbait_precision,macro_f1,weighted_f1
meta_llama3,finetuned_zeroshot,0.857421875,0.7667731629392971,0.7843137254901961,0.8973277074542897,0.8885793871866295,0.8320504351967934,0.8565294122933546
meta_llama3,finetuned_fewshot,0.83203125,0.7650273224043715,0.6796116504854369,0.8693009118541033,0.934640522875817,0.8171641171292374,0.8367154151510621
gemma,finetuned_zeroshot,0.833984375,0.7477744807121661,0.711864406779661,0.87627365356623,0.8985074626865671,0.8120240671391981,0.8361176620493351
gemma,finetuned_fewshot,0.84375,0.7633136094674556,0.7247191011235955,0.8833819241982507,0.907185628742515,0.8233477668328532,0.8458605758448772
