model,experiment,accuracy,clickbait_f1,clickbait_precision,non_clickbait_f1,non_clickbait_precision,macro_f1,weighted_f1
meta_llama3,pretrained_zeroshot,0.74609375,0.453781512605042,0.6923076923076923,0.8346055979643766,0.7557603686635944,0.6441935552847093,0.7155980712895846
meta_llama3,pretrained_fewshot,0.75390625,0.6802030456852792,0.5726495726495726,0.8,0.9064748201438849,0.7401015228426396,0.7625634517766497
gemma,pretrained_zeroshot,0.384765625,0.48105436573311366,0.32662192393736017,0.2446043165467626,0.7846153846153846,0.36282934113993814,0.3184949569174973
gemma,pretrained_fewshot,0.755859375,0.5551601423487544,0.6446280991735537,0.8317631224764468,0.7902813299232737,0.6934616324126006,0.7453246911865429
